,road,id,model_type,name,lat,lon,length,condition,bridge_length
1063,N1,1001063,link,,21.282666,92.1006944,12.999999999976808,,
1064,N1,1001064,link,,21.2790827,92.1019722,427.99999999999727,,
1065,N1,1001065,link,,21.277666,92.1026111,168.00000000000637,,
1066,N1,1001066,link,,21.2695827,92.1066111,996.0000000000377,,
1067,N1,1001067,bridge,,21.2694716,92.1066667,14.999999999986358,B,2.2
1068,N1,1001068,bridge,,21.2678604,92.1088333,291.99999999997317,C,10.9
1069,N1,1001069,link,,21.2677493,92.109,26.00000000001046,,
1070,N1,1001070,bridge,,21.2646111,92.1134444,581.0000000000173,C,2.1
1071,N1,1001071,link,,21.2641111,92.1140833,89.99999999997499,,
1072,N1,1001072,bridge,,21.2639722,92.1141944,14.000000000010004,A,2.0
1073,N1,1001073,link,,21.2637222,92.1144722,45.000000000015916,,
1074,N1,1001074,bridge,,21.2623611,92.1161667,233.99999999998045,A,2.2
1075,N1,1001075,link,,21.26225,92.1163056,18.000000000029104,,
1076,N1,1001076,link,,21.2580278,92.1214438,714.999999999975,,
1077,N1,1001077,bridge,,21.2565556,92.122916,223.99999999998954,A,6.4
1078,N1,1001078,link,,21.2565,92.1229716,13.000000000033651,,
1079,N1,1001079,bridge,,21.2550278,92.1245827,238.9999999999759,A,6.4
1080,N1,1001080,bridge,,21.2537778,92.1266382,250.0,A,6.4
1081,N1,1001081,link,,21.2521944,92.1286104,276.00000000001046,,
1082,N1,1001082,bridge,,21.2521111,92.1287493,16.999999999995907,A,3.1
1083,N1,1001083,bridge,,21.2504722,92.1307493,120.00000000000455,A,39.3
1084,N1,1001084,link,,21.2504167,92.1307493,89.99999999997499,,
1085,N1,1001085,bridge,,21.248083,92.1341108,781.0000000000059,A,3.0
1086,N1,1001086,link,,21.2479997,92.1342219,13.000000000033651,,
1087,N1,1001087,link,,21.2462219,92.1364719,40.99999999999682,,
1088,N1,1001088,link,,21.2447497,92.1389441,300.00000000001137,,
1089,N1,1001089,bridge,,21.242333,92.1413608,382.99999999998136,D,15.4
1090,N1,1001090,link,,21.2422219,92.1415552,21.99999999999136,,
1091,N1,1001091,link,,21.2412497,92.1440552,302.0000000000209,,
1092,N1,1001092,link,,21.2357774,92.1511667,979.9999999999613,,
1093,N1,1001093,link,,21.236333,92.1586667,998.0000000000473,,
1094,N1,1001094,link,,21.2283604,92.1617222,1009.9999999999909,,
1095,N1,1001095,bridge,,21.2261382,92.1611667,264.99999999998636,C,3.0
1096,N1,1001096,bridge,,21.2243327,92.1614444,209.00000000000318,A,4.6
1097,N1,1001097,link,,21.2198049,92.1618611,527.9999999999632,,
1098,N1,1001098,bridge,,21.2165556,92.1626944,400.0000000000341,C,9.4
1099,N1,1001099,bridge,,21.2152778,92.1649722,302.99999999999727,C,15.2
1100,N1,1001100,bridge,,21.2142778,92.166666,195.99999999996953,C,9.4
1101,N1,1001101,link,,21.21375,92.1674438,106.00000000005139,,
1102,N1,1001102,bridge,,21.2127222,92.1678882,127.9999999999859,A,57.6
1103,N1,1001103,bridge,,21.2105833,92.1681382,243.99999999997135,A,57.6
1104,N1,1001104,bridge,,21.2096944,92.168416,100.00000000002274,B,3.3
1105,N1,1001105,link,,21.2056389,92.1703327,536.0000000000014,,
1106,N1,1001106,bridge,,21.2011389,92.170416,526.9999999999868,C,15.4
1107,N1,1001107,bridge,,21.1989997,92.1703604,247.99999999999045,A,3.3
1108,N1,1001108,link,,21.1977219,92.1705549,125.0,,
1109,N1,1001109,link,,21.1969441,92.1707493,112.99999999999955,,
1110,N1,1001110,bridge,,21.1965552,92.1708604,47.000000000025466,D,12.3
1111,N1,1001111,bridge,,21.1925552,92.1697216,483.99999999998045,A,4.8
1112,N1,1001112,link,,21.1923052,92.1695271,42.00000000003001,,
1113,N1,1001113,bridge,,21.1906108,92.167916,260.99999999996726,B,15.2
1114,N1,1001114,link,,21.1897497,92.166666,173.00000000000182,,
1115,N1,1001115,bridge,,21.1866386,92.1638056,456.99999999999363,C,1.3
1116,N1,1001116,bridge,,21.1859441,92.1610833,313.000000000045,A,3.3
1117,N1,1001117,link,,21.185833,92.1609167,22.999999999967713,,
1118,N1,1001118,link,,21.1843052,92.1594167,233.0000000000041,,
1119,N1,1001119,bridge,,21.178666,92.1574722,699.0000000000123,C,1.2
1120,N1,1001120,link,,21.1761938,92.1566111,290.9999999999968,,
1121,N1,1001121,bridge,,21.1742771,92.1557222,242.999999999995,A,6.4
1122,N1,1001122,bridge,,21.1718327,92.1551389,281.99999999998226,A,3.35
1123,N1,1001123,bridge,,21.1698049,92.1545833,242.999999999995,C,13.0
1124,N1,1001124,link,,21.1694993,92.1543056,48.00000000000182,,
1125,N1,1001125,bridge,,21.168416,92.1532778,155.00000000002956,A,3.2
1126,N1,1001126,link,,21.1677216,92.1527778,110.00000000001364,,
1127,N1,1001127,bridge,,21.1673327,92.1524167,64.99999999999773,A,3.4
1128,N1,1001128,bridge,,21.1652222,92.1521667,252.9999999999859,A,2.8
1129,N1,1001129,link,,21.1649444,92.1521944,31.999999999982265,,
1130,N1,1001130,bridge,,21.16325,92.1522222,194.99999999999318,A,3.4
1131,N1,1001131,bridge,,21.1624722,92.1522778,88.99999999999864,A,1.2
1132,N1,1001132,bridge,,21.1604167,92.1525,235.99999999999,A,3.4
1133,N1,1001133,link,,21.1595,92.1526111,108.00000000000409,,
1134,N1,1001134,bridge,,21.1593056,92.1526111,21.000000000015007,A,1.2
1135,N1,1001135,bridge,,21.1586667,92.1525,73.00000000003593,A,1.2
1136,N1,1001136,bridge,,21.1556389,92.1527778,354.99999999996135,A,2.8
1137,N1,1001137,bridge,,21.1537778,92.1528611,216.99999999998454,A,2.8
1138,N1,1001138,bridge,,21.1521944,92.1535278,212.00000000004593,A,1.2
1139,N1,1001139,link,,21.1507222,92.1545,197.99999999997908,,
1140,N1,1001140,bridge,,21.147333,92.1574167,538.0000000000109,C,1.2
1141,N1,1001141,bridge,,21.1442774,92.1586389,368.99999999997135,A,34.2
1142,N1,1001142,link,,21.1441663,92.1586944,19.000000000005457,,
1143,N1,1001143,link,,21.1435274,92.1589722,81.00000000001728,,
1144,N1,1001144,bridge,,21.1414997,92.1599167,247.99999999999045,A,2.7
1145,N1,1001145,link,,21.1410552,92.1602222,60.99999999997863,,
1146,N1,1001146,bridge,,21.1381108,92.1648611,603.0000000000086,A,4.2
1147,N1,1001147,link,,21.1379719,92.1659167,116.00000000004229,,
1148,N1,1001148,bridge,,21.137833,92.1671104,122.99999999999045,A,1.2
1149,N1,1001149,bridge,,21.1375552,92.1683049,130.9999999999718,A,2.8
1150,N1,1001150,bridge,,21.1372219,92.1708882,271.000000000015,A,1.2
1151,N1,1001151,bridge,,21.1371108,92.1727771,199.99999999998863,A,14.0
1152,N1,1001152,bridge,,21.1368886,92.173916,120.00000000000455,A,1.2
1153,N1,1001153,link,,21.1367219,92.1741382,30.00000000002956,,
1154,N1,1001154,link,,21.1363886,92.1752493,127.9999999999859,,
1155,N1,1001155,bridge,,21.1363608,92.1755549,31.999999999982265,A,1.0
1156,N1,1001156,bridge,,21.1353886,92.1770827,213.00000000002228,A,1.0
1157,N1,1001157,bridge,,21.1333886,92.1806938,493.99999999997135,A,3.0
1158,N1,1001158,link,,21.1333608,92.1808327,16.999999999995907,,
1159,N1,1001159,bridge,,21.1329438,92.1824438,176.00000000004457,A,1.0
1160,N1,1001160,link,,21.1326938,92.183333,96.99999999997999,,
1161,N1,1001161,bridge,,21.1319716,92.1846108,159.99999999996817,A,5.8
1162,N1,1001162,bridge,,21.1309716,92.1856941,174.00000000003502,A,1.3
1163,N1,1001163,link,,21.1269438,92.1902219,665.9999999999968,,
1164,N1,1001164,bridge,,21.1268327,92.1902774,12.000000000000455,A,1.2
1165,N1,1001165,bridge,,21.1242771,92.1918886,336.9999999999891,B,30.9
1166,N1,1001166,bridge,,21.1239993,92.1919997,40.99999999999682,A,1.2
1167,N1,1001167,bridge,,21.1229993,92.1926663,134.00000000001455,A,1.2
1168,N1,1001168,bridge,,21.122166,92.1931941,112.99999999999955,A,1.2
1169,N1,1001169,bridge,,21.1214993,92.1935552,84.99999999997954,A,1.2
1170,N1,1001170,link,,21.1198604,92.1954719,283.00000000001546,,
1171,N1,1001171,bridge,,21.1190827,92.1960274,110.99999999999,C,1.2
1172,N1,1001172,bridge,,21.1175827,92.1966663,192.99999999998363,B,9.4
1173,N1,1001173,bridge,,21.1165,92.1969163,127.00000000000955,B,11.8
1174,N1,1001174,bridge,,21.1161389,92.1969997,51.000000000044565,C,2.8
1175,N1,1001175,link,,21.1158333,92.1971386,38.99999999998727,,
1176,N1,1001176,bridge,,21.1151667,92.1975552,86.99999999998909,B,9.4
1177,N1,1001177,link,,21.1146111,92.1979719,77.99999999997453,,
1178,N1,1001178,link,,21.1121111,92.2002778,377.00000000000955,,
1179,N1,1001179,bridge,,21.1118611,92.2006389,47.000000000025466,C,1.2
1180,N1,1001180,bridge,,21.1090556,92.2045278,314.9999999999977,C,31.7
1181,N1,1001181,bridge,,21.1078333,92.2058611,430.0000000000068,C,1.2
1182,N1,1001182,bridge,,21.1078333,92.2069444,197.99999999997908,C,1.2
