,road,lrp,id,lat,lon,condition,bridge_length,Truck number,Truck percentage
223,N1,LRP101b,1000218,23.385083,91.2345552,A,30.48,13556.0,0.5750159066808059
224,N1,LRP101c,1000219,23.3849719,91.2346108,A,30.48,13556.0,0.5750159066808059
225,N1,LRP102,1000220,23.3843886,91.2351108,NaN,NaN,13556.0,0.5750159066808059
226,N1,LRP102a,1000221,23.3779716,91.2403608,NaN,NaN,13556.0,0.5750159066808059
227,N1,LRP102b,1000222,23.3777493,91.2405274,NaN,NaN,13556.0,0.5750159066808059
228,N1,LRP103,1000223,23.377166,91.2409163,NaN,NaN,13556.0,0.5750159066808059
229,N1,LRP104,1000224,23.3695827,91.2462774,NaN,NaN,13556.0,0.5750159066808059
230,N1,LRP104a,1000225,23.3683327,91.2471108,C,22.8,13556.0,0.5750159066808059
231,N1,LRP105,1000226,23.3615278,91.2515556,NaN,NaN,13556.0,0.5750159066808059
232,N1,LRP105a,1000227,23.3586389,91.25325,A,14.3,13556.0,0.5750159066808059
233,N1,LRP105b,1000228,23.3584444,91.2533333,NaN,NaN,13556.0,0.5750159066808059
234,N1,LRP106,1000229,23.3536944,91.2561389,NaN,NaN,13556.0,0.5750159066808059
235,N1,LRP106a,1000230,23.3486386,91.2599444,NaN,NaN,13556.0,0.5750159066808059
236,N1,LRP107,1000231,23.3463608,91.2616944,NaN,NaN,13556.0,0.5750159066808059
237,N1,LRP108,1000232,23.3390552,91.2672216,NaN,NaN,13556.0,0.5750159066808059
238,N1,LRP108a,1000233,23.3360274,91.2700549,NaN,NaN,13556.0,0.5750159066808059
239,N1,LRP108b,1000234,23.3357219,91.2703049,NaN,NaN,13556.0,0.5750159066808059
240,N1,LRP108c,1000235,23.3581667,91.2534722,NaN,NaN,13556.0,0.5750159066808059
241,N1,LRP108c,1000235,23.3581667,91.2534722,NaN,NaN,13556.0,0.5750159066808059
242,N1,LRP109,1000236,23.3321938,91.2734716,NaN,NaN,13556.0,0.5750159066808059
243,N1,LRP110,1000237,23.3246382,91.278666,NaN,NaN,13556.0,0.5750159066808059
244,N1,LRP110a,1000238,23.324166,91.2791104,B,19.2,13556.0,0.5750159066808059
245,N1,LRP110b,1000239,23.3240827,91.279166,NaN,NaN,13556.0,0.5750159066808059
246,N1,LRP111,1000240,23.3171382,91.2836941,NaN,NaN,13556.0,0.5750159066808059
247,N1,LRP111a,1000241,23.3149444,91.2844719,A,3.2,13556.0,0.5750159066808059
248,N1,LRP111b,1000242,23.31475,91.2845552,NaN,NaN,13556.0,0.5750159066808059
249,N1,LRP111c,1000243,23.3096389,91.2861386,A,3.2,13556.0,0.5750159066808059
250,N1,LRP112,1000244,23.3086944,91.2864163,NaN,NaN,13556.0,0.5750159066808059
251,N1,LRP112a,1000245,23.30425,91.288583,A,13.4,13556.0,0.5750159066808059
252,N1,LRP113,1000246,23.3006111,91.290333,NaN,NaN,13556.0,0.5750159066808059
253,N1,LRP113a,1000247,23.296083,91.2914997,B,4.6,13556.0,0.5750159066808059
254,N1,LRP113b,1000248,23.2959719,91.2915274,NaN,NaN,13556.0,0.5750159066808059
255,N1,LRP114,1000249,23.2919163,91.2922219,NaN,NaN,13556.0,0.5750159066808059
256,N1,LRP114a,1000250,23.2876663,91.2936386,B,6.3,13556.0,0.5750159066808059
257,N1,LRP115,1000251,23.283583,91.2952219,NaN,NaN,13556.0,0.5750159066808059
258,N1,LRP115a,1000252,23.2787216,91.3002778,NaN,NaN,13556.0,0.5750159066808059
259,N1,LRP116,1000253,23.2768882,91.3011944,NaN,NaN,13556.0,0.5750159066808059
260,N1,LRP117,1000254,23.2686382,91.3049722,NaN,NaN,13556.0,0.5750159066808059
261,N1,LRP117a,1000255,23.2677493,91.3054722,B,4.5,13556.0,0.5750159066808059
262,N1,LRP117b,1000256,23.2654444,91.3064444,B,4.5,13556.0,0.5750159066808059
263,N1,LRP117c,1000257,23.2636667,91.30675,B,4.5,13556.0,0.5750159066808059
264,N1,LRP118,1000258,23.2601111,91.3072778,NaN,NaN,13556.0,0.5750159066808059
265,N1,LRP118a,1000259,23.2587222,91.3074444,B,2.5,13556.0,0.5750159066808059
266,N1,LRP119,1000260,23.2511944,91.3086389,NaN,NaN,13556.0,0.5750159066808059
267,N1,LRP119a,1000261,23.249833,91.3091944,A,2.5,13556.0,0.5750159066808059
268,N1,LRP119b,1000262,23.248333,91.3098056,B,3.1,13556.0,0.5750159066808059
269,N1,LRP119c,1000263,23.2481663,91.3098889,NaN,NaN,13556.0,0.5750159066808059
270,N1,LRP119d,1000264,23.2452774,91.3110556,A,2.5,13556.0,0.5750159066808059
271,N1,LRP120,1000265,23.243083,91.3119167,NaN,NaN,13556.0,0.5750159066808059
272,N1,LRP120a,1000266,23.2416941,91.3123611,B,2.6,13556.0,0.5750159066808059
273,N1,LRP120b,1000267,23.2344997,91.3131667,A,6.0,13556.0,0.5750159066808059
274,N1,LRP121,1000268,23.2343052,91.3131667,NaN,NaN,13556.0,0.5750159066808059
275,N1,LRP121a,1000269,23.2314993,91.3132222,B,14.3,13556.0,0.5750159066808059
276,N1,LRP121b,1000270,23.2275549,91.3135278,B,14.3,13556.0,0.5750159066808059
277,N1,LRP122,1000271,23.2253882,91.3135833,NaN,NaN,13556.0,0.5750159066808059
278,N1,LRP122a,1000272,23.221416,91.3137222,NaN,NaN,9799.0,0.5651095732410611
279,N1,LRP122b,1000273,23.2184993,91.3143889,A,6.1,9799.0,0.5651095732410611
280,N1,LRP123,1000274,23.2165556,91.3149167,NaN,NaN,9799.0,0.5651095732410611
281,N1,LRP123a,1000275,23.2103056,91.3157222,A,6.1,9799.0,0.5651095732410611
282,N1,LRP124,1000276,23.2078889,91.3159722,NaN,NaN,9799.0,0.5651095732410611
283,N1,LRP124a,1000277,23.201,91.3168049,C,6.1,9799.0,0.5651095732410611
284,N1,LRP125,1000278,23.1990274,91.3170549,NaN,NaN,9799.0,0.5651095732410611
285,N1,LRP125a,1000279,23.1921108,91.3185549,B,9.5,9799.0,0.5651095732410611
286,N1,LRP126,1000280,23.1909997,91.3192493,NaN,NaN,9799.0,0.5651095732410611
287,N1,LRP126a,1000281,23.1866941,91.3212493,B,3.1,9799.0,0.5651095732410611
