,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
122,7414,N7,0.0,LRPS,23.7689716,89.7870552,,Others,,intersection,,,,Unknown,,N7LRPS,N7LRPS,POINT (89.7870552 23.7689716),1004921,potential intersection,0.03530175318593048
123,7946,N7,249.665,LRPE,22.5293327,89.5894441,,Others,,intersection,73.99999999998386,,,Unknown,,N7LRPE,N7LRPE,POINT (89.5894441 22.5293327),1045402,potential intersection,0.10278085840086909
124,7947,N701,0.0,LRPS,23.7689716,89.7870552,,Others,,intersection,,,,Unknown,,N701LRPS,N701LRPS,POINT (89.7870552 23.7689716),1004921,potential intersection,0.03530175318593048
125,7950,N701,1.0,LRPE,23.7651389,89.7805549,,Others,,intersection,480.0,,,Unknown,,N701LRPE,N701LRPE,POINT (89.7805549 23.7651389),1004921,potential intersection,0.04254514295874931
126,7951,N702,0.0,LRPS,23.1665833,89.2095,,Others,,intersection,,,,Unknown,,N702LRPS,N702LRPS,POINT (89.2095 23.1665833),1008341,potential intersection,0.009605444981888261
127,8047,N702,43.75,LRPE,23.4856663,89.4189716,,Others,,intersection,130.00000000000256,,,Unknown,,N702LRPE,N702LRPE,POINT (89.4189716 23.4856663),1007604,potential intersection,0.00011450109169518227
128,8048,N703,0.0,LRPS,23.5425274,89.1906108,,Others,,intersection,,,,Unknown,,N703LRPS,N703LRPS,POINT (89.1906108 23.5425274),1007656,potential intersection,8.781645631595208e-05
129,8063,N703,3.49,LRPE,23.5324716,89.170916,,Others,,intersection,455.00000000000006,,,Unknown,,N703LRPE,N703LRPE,POINT (89.170916 23.5324716),1008492,potential intersection,0.00011109999999803222
130,8064,N704,0.0,LRPS,23.5456941,89.1728604,,Others,,intersection,,,,Unknown,,N704LRPS,N704LRPS,POINT (89.1728604 23.5456941),1008057,potential intersection,7.855959520890134e-05
131,8235,N704,81.538,LRPE,24.1121389,89.1217216,,Others,,intersection,344.99999999999886,,,Unknown,,N704LRPE,N704LRPE,POINT (89.1217216 24.1121389),1006942,potential intersection,0.0005122162043514801
132,8236,N705,0.0,LRPS,24.0753604,89.0661667,,Others,,intersection,,,,Unknown,,N705LRPS,N705LRPS,POINT (89.0661667 24.0753604),1008218,potential intersection,0.000333399999998818
133,8253,N705,9.453,LRPE,24.1299993,89.1186938,,Others,,intersection,969.9999999999989,,,Unknown,,N705LRPE,N705LRPE,POINT (89.1186938 24.1299993),1008234,potential intersection,0.01663857092571624
134,8254,N706,0.0,LRPS,23.1665278,89.2095278,,Others,,intersection,,,,Unknown,,N706LRPS,N706LRPS,POINT (89.2095278 23.1665278),1008341,potential intersection,0.009657226101217399
135,8336,N706,38.2,LRPE,23.0389441,88.8841663,,Others,,intersection,470.00000000000597,,,Unknown,,N706LRPE,N706LRPE,POINT (88.8841663 23.0389441),1008335,potential intersection,0.004582735786613165
